Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Matt Thaiss*,30,C,0.7,32,97,76,9,16,4,0,1,8,1,1,19,17,0.211,0.371,0.303,0.674,98,0.323,110,23,2,1,0,1,0,2/H3D,,thaisma01
2,Andrew Vaughn,27,1B,-1.5,45,182,174,9,32,8,0,5,18,0,0,7,43,0.184,0.214,0.316,0.53,50,0.231,42,55,3,0,0,1,0,3D/H,,vaughan01
3,Lenyn Sosa,25,2B,0.1,45,160,155,12,41,7,0,3,11,1,0,4,37,0.265,0.283,0.368,0.651,86,0.292,85,57,3,0,1,0,0,*4/3H5D,,sosale01
4,Jacob Amaya,26,SS,-1,33,68,62,6,6,1,0,0,7,2,0,2,15,0.097,0.119,0.113,0.232,-32,0.112,-52,7,1,0,1,3,0,*6/H1,,amayaja01
5,Miguel Vargas,25,3B,1.2,44,180,159,20,39,10,0,6,21,1,0,17,31,0.245,0.328,0.421,0.749,114,0.329,112,67,0,3,0,1,0,*5/3DH,,vargami01
6,Brooks Baldwin#,24,LF,-1,44,142,130,8,28,6,0,3,16,2,0,7,38,0.215,0.257,0.331,0.588,68,0.26,59,43,7,1,2,2,0,*76/4H985,,baldwbr01
7,Luis Robert Jr.,27,CF,0.2,43,176,152,21,28,4,0,5,17,17,5,21,52,0.184,0.282,0.309,0.591,70,0.293,80,47,3,0,0,1,1,*8/D,,roberlu01
8,Joshua Palacios*,29,RF,-0.8,33,89,77,8,15,2,0,1,4,0,0,9,22,0.195,0.303,0.26,0.563,65,0.264,66,20,0,3,0,0,0,9/HD7,,palacjo01
9,Nick Maton*,28,DH,-0.1,25,63,54,5,9,2,0,2,4,0,1,9,19,0.167,0.286,0.315,0.601,73,0.267,74,17,0,0,0,0,0,D/H3479,,matonni01
10,Michael A. Taylor,34,OF,0.2,39,99,91,13,18,6,1,2,8,6,0,7,35,0.198,0.255,0.352,0.607,73,0.278,65,32,2,0,1,0,0,*97H/8D,,taylomi02
11,Andrew Benintendi*,30,LF,0.4,24,95,85,13,19,0,0,5,12,0,0,8,17,0.224,0.298,0.4,0.698,99,0.325,110,34,1,1,0,0,0,7/DH,,beninan01
12,Edgar Quero#,22,C,0.5,25,94,82,6,23,3,0,0,10,0,0,10,14,0.28,0.372,0.317,0.689,102,0.33,113,26,1,2,0,0,0,2/DH,,queroed01
13,Chase Meidroth,23,SS,1,24,92,81,13,23,3,0,1,4,5,0,11,14,0.284,0.37,0.358,0.728,111,0.353,120,29,2,0,0,0,0,64,,meidrch01
14,Josh Rojas*,31,UT,-0.2,12,39,35,2,6,0,0,0,2,1,0,4,13,0.171,0.256,0.171,0.428,27,0.239,43,6,0,0,0,0,0,/547H,,rojasjo01
15,Tim Elko,26,1B,0,7,22,21,2,4,0,0,2,4,0,0,1,7,0.19,0.227,0.476,0.703,96,0.296,89,10,1,0,0,0,0,/3D,,elkoti01
16,Bobby Dalbec,30,IF,0,7,21,18,2,4,1,0,0,1,0,0,3,6,0.222,0.333,0.278,0.611,79,0.282,78,5,1,0,0,0,0,/36H5,,dalbebo01
17,Austin Slater,32,RF,0,8,20,20,2,5,2,0,1,1,0,0,0,5,0.25,0.25,0.5,0.75,109,0.319,105,10,0,0,0,0,0,/9HD,,slateau01
18,Korey Lee,26,C,0.2,9,17,15,3,5,2,0,0,1,0,0,2,3,0.333,0.412,0.467,0.878,153,0.382,151,7,0,0,0,0,0,/2HD,,leeko01
19,Travis Jankowski*,34,OF,-0.2,7,15,14,1,3,0,0,0,0,0,0,1,3,0.214,0.267,0.214,0.481,41,0.219,33,3,0,0,0,0,0,/9H8,,jankotr01
20,Mike Tauchman*,34,RF,0.2,3,12,10,1,4,0,0,0,0,0,0,2,2,0.4,0.5,0.4,0.9,164,0.414,175,4,0,0,0,0,0,/9,,tauchmi01
21,Omar Narváez*,33,C,0,4,10,7,1,2,0,0,0,3,0,0,2,1,0.286,0.4,0.286,0.686,103,0.308,97,2,0,0,0,1,0,/2,,narvaom01
22,Greg Jones#,27,RF,0,3,2,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,-100,0.126,-123,0,0,0,0,0,0,/H9,,jonesgr02
23,Gage Workman*,25,IF,-0.1,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-127,0,0,0,0,0,0,/56H,,workmga01
,Team Totals,,,-0.2,47,1697,1522,157,330,61,1,37,152,37,7,146,397,0.217,0.288,0.331,0.619,78,0.285,78,504,27,11,5,10,1,,,-9999
