Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Carson Kelly,30,C,1.6,29,114,91,20,26,3,1,8,23,0,0,21,16,0.286,0.421,0.604,1.025,188,0.442,190,55,2,1,0,1,0,2/DH,,kellyca02
2,Michael Busch*,27,1B,1.2,44,172,149,21,38,8,1,7,25,3,0,18,43,0.255,0.355,0.463,0.818,131,0.365,132,69,1,5,0,0,0,*3/H,,buschmi02
3,Nico Hoerner,28,2B,1.5,43,183,169,27,49,11,1,0,20,10,2,10,16,0.29,0.333,0.367,0.7,100,0.332,106,62,0,2,0,2,0,*4,,hoernni01
4,Dansby Swanson,31,SS,1.6,47,198,178,33,45,7,1,10,26,7,0,17,51,0.253,0.315,0.472,0.787,121,0.355,122,84,2,0,1,2,1,*6,,swansda01
5,Jon Berti,35,3B,0,29,81,75,10,16,2,0,0,2,7,1,4,18,0.213,0.272,0.24,0.512,48,0.26,50,18,1,2,0,0,0,5/4H9,,bertijo01
6,Ian Happ#,30,LF,0.9,39,187,160,29,43,9,0,3,19,2,1,24,35,0.269,0.364,0.381,0.745,113,0.345,121,61,3,1,0,2,0,*7,,happia01
7,Pete Crow-Armstrong*,23,CF,3.1,47,197,183,36,53,12,3,12,38,14,3,9,47,0.29,0.325,0.585,0.909,153,0.4,154,107,0,1,3,1,0,*8,,crowape01
8,Kyle Tucker*,28,RF,1.7,47,216,182,35,48,9,4,10,33,12,0,33,25,0.264,0.375,0.522,0.897,153,0.4,151,95,4,0,0,1,4,*9/D,,tuckeky01
9,Seiya Suzuki,30,DH,0.4,43,192,173,24,42,10,2,11,39,1,2,15,55,0.243,0.297,0.514,0.811,126,0.348,126,89,4,0,0,4,0,*D/79,,suzukse01
10,Miguel Amaya,26,C,0.8,24,90,84,12,23,8,0,3,20,0,0,3,20,0.274,0.303,0.476,0.78,118,0.355,128,40,0,1,1,1,0,2/DH,,amayami01
11,Justin Turner,40,CI,-0.4,28,79,65,4,11,1,0,0,9,1,0,11,17,0.169,0.291,0.185,0.476,40,0.251,51,12,1,1,0,2,0,H3/D5,,turneju01
12,Matt Shaw,23,3B,0,18,68,58,11,10,1,0,1,3,0,0,10,18,0.172,0.294,0.241,0.535,55,0.253,55,14,0,0,0,0,0,5/H,,shawma01
13,Nicky Lopez*,30,IF,-0.3,14,22,18,2,1,0,0,0,1,0,0,4,3,0.056,0.227,0.056,0.283,-14,0.164,-8,1,1,0,0,0,0,5/H64D,,lopezni01
14,Vidal Bruján#,27,UT,-0.1,16,17,17,3,5,2,0,0,2,1,1,0,3,0.294,0.294,0.412,0.706,99,0.287,91,7,0,0,0,0,0,/H57D9,,brujavi01
15,Gage Workman*,25,IF,-0.2,9,15,14,0,3,1,0,0,2,1,0,1,6,0.214,0.267,0.286,0.552,58,0.262,50,4,0,0,0,0,0,/56DH,,workmga01
16,Moisés Ballesteros*,21,DH,-0.2,4,14,12,3,1,0,0,0,2,0,0,2,0,0.083,0.214,0.083,0.298,-11,0.165,-8,1,1,0,0,0,0,/D,,ballemo01
17,Colin Rea,34,P,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-136,0,0,0,0,0,0,1,,reaco01
,Team Totals,,,11.9,47,1846,1629,270,414,84,13,65,264,59,10,182,374,0.254,0.331,0.441,0.773,118,0.349,121,719,20,14,5,16,5,,,-9999
