Player,Team,PA,AB,R,H,TB,2B,3B,HR,RBI,BB,SO,SB,Pos,HBP,SH,SF,GIDP
Carson Kelly,Chicago Cubs,9,8,2,2,3,1,0,0,0,1,3,0,0,0,0,0,0
Dansby Swanson,Chicago Cubs,14,11,4,4,7,0,0,1,2,2,2,3,0,0,0,0,0
Jon Berti,Chicago Cubs,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Justin Turner,Chicago Cubs,4,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Kyle Tucker,Chicago Cubs,14,11,2,3,5,0,1,0,0,3,1,2,0,0,0,0,0
Michael Busch,Chicago Cubs,14,11,2,3,3,0,0,0,1,1,4,1,0,0,0,0,0
Miguel Amaya,Chicago Cubs,5,4,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0
Moises Ballesteros,Chicago Cubs,10,8,3,1,1,0,0,0,2,2,0,0,0,0,0,0,0
Nicky Lopez,Chicago Cubs,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nico Hoerner,Chicago Cubs,14,12,6,6,9,3,0,0,3,2,0,2,0,0,0,0,0
Pete Crow-Armstrong,Chicago Cubs,14,14,4,8,16,1,2,1,8,0,3,1,0,0,0,0,0
Seiya Suzuki,Chicago Cubs,14,10,1,3,6,3,0,0,4,1,3,0,0,0,0,0,0
Vidal Bruján,Chicago Cubs,7,7,1,3,4,1,0,0,2,0,0,0,0,0,0,0,0
